Date,pct_above_60dma,pct_above_200dma
2015-01-02,82.2,0.0
2015-01-05,71.3,0.0
2015-01-06,57.4,0.0
2015-01-07,67.0,0.0
2015-01-08,79.8,0.0
2015-01-09,70.4,0.0
2015-01-12,63.7,0.0
2015-01-13,61.3,0.0
2015-01-14,56.3,0.0
2015-01-15,48.7,0.0
2015-01-16,57.0,0.0
2015-01-20,56.5,0.0
2015-01-21,59.1,0.0
2015-01-22,68.9,0.0
2015-01-23,63.5,0.0
2015-01-26,67.4,0.0
2015-01-27,57.8,0.0
2015-01-28,49.8,0.0
2015-01-29,56.1,0.0
2015-01-30,45.0,0.0
2015-02-02,52.6,0.0
2015-02-03,63.0,0.0
2015-02-04,60.2,0.0
2015-02-05,68.5,0.0
2015-02-06,65.4,0.0
2015-02-09,61.3,0.0
2015-02-10,69.1,0.0
2015-02-11,66.7,0.0
2015-02-12,73.7,0.0
2015-02-13,73.9,0.0
2015-02-17,74.8,0.0
2015-02-18,75.0,0.0
2015-02-19,74.8,0.0
2015-02-20,78.0,0.0
2015-02-23,77.0,0.0
2015-02-24,77.4,0.0
2015-02-25,76.5,0.0
2015-02-26,73.7,0.0
2015-02-27,72.4,0.0
2015-03-02,75.2,0.0
2015-03-03,73.0,0.0
2015-03-04,69.6,0.0
2015-03-05,72.0,0.0
2015-03-06,63.0,0.0
2015-03-09,64.1,0.0
2015-03-10,52.4,0.0
2015-03-11,53.7,0.0
2015-03-12,63.3,0.0
2015-03-13,57.8,0.0
2015-03-16,64.6,0.0
2015-03-17,61.7,75.4
2015-03-18,71.1,78.9
2015-03-19,69.3,77.6
2015-03-20,75.7,80.4
2015-03-23,73.0,80.7
2015-03-24,69.8,78.7
2015-03-25,57.0,74.8
2015-03-26,57.6,72.2
2015-03-27,60.0,73.0
2015-03-30,70.4,77.0
2015-03-31,63.8,74.4
2015-04-01,60.3,73.1
2015-04-02,64.2,75.1
2015-04-06,69.6,76.8
2015-04-07,65.9,75.5
2015-04-08,67.2,76.1
2015-04-09,67.2,76.6
2015-04-10,69.6,77.9
2015-04-13,64.6,75.9
2015-04-14,63.8,77.9
2015-04-15,67.0,79.4
2015-04-16,66.8,78.5
2015-04-17,52.3,76.6
2015-04-20,61.4,78.3
2015-04-21,60.1,77.7
2015-04-22,64.0,79.0
2015-04-23,64.9,80.3
2015-04-24,63.3,79.6
2015-04-27,59.4,78.5
2015-04-28,58.4,79.4
2015-04-29,54.7,79.4
2015-04-30,43.2,74.0
2015-05-01,52.9,77.9
2015-05-04,55.1,79.2
2015-05-05,45.6,72.0
2015-05-06,41.9,71.8
2015-05-07,45.1,72.2
2015-05-08,56.2,75.9
2015-05-11,52.9,73.8
2015-05-12,50.1,73.8
2015-05-13,49.9,74.2
2015-05-14,62.3,77.9
2015-05-15,63.3,79.2
2015-05-18,64.9,80.3
2015-05-19,65.7,79.8
2015-05-20,65.5,79.0
2015-05-21,66.2,79.8
2015-05-22,64.0,78.1
2015-05-26,54.9,74.2
2015-05-27,61.8,75.9
2015-05-28,62.9,76.4
2015-05-29,55.5,73.3
2015-06-01,57.5,74.2
2015-06-02,55.7,72.9
2015-06-03,56.0,70.7
2015-06-04,47.7,66.8
2015-06-05,47.9,66.6
2015-06-08,41.6,64.9
2015-06-09,40.3,64.6
2015-06-10,51.6,68.3
2015-06-11,52.9,69.8
2015-06-12,49.0,66.6
2015-06-15,44.7,65.1
