asset,hedge,CAGR,maxDD
XLF,UNHEDGED,0.0572,-0.8269
XLF,k10% 63d VRP0%,0.0561,-0.5913
XLF,k10% 63d VRP50%,-0.0128,-0.7876
XLF,k10% 252d VRP0%,0.0416,-0.488
XLF,k10% 252d VRP50%,-0.0053,-0.7174
XLF,k20% 63d VRP0%,0.0553,-0.6968
XLF,k20% 63d VRP50%,0.0188,-0.7824
XLF,k20% 252d VRP0%,0.0514,-0.5434
XLF,k20% 252d VRP50%,0.0168,-0.6861
XLF,k30% 63d VRP0%,0.0531,-0.751
XLF,k30% 63d VRP50%,0.034,-0.7805
XLF,k30% 252d VRP0%,0.06,-0.6228
XLF,k30% 252d VRP50%,0.0367,-0.6539
XLK,UNHEDGED,0.0917,-0.8205
XLK,k10% 63d VRP0%,0.0972,-0.6333
XLK,k10% 63d VRP50%,0.0287,-0.8008
XLK,k10% 252d VRP0%,0.1081,-0.5681
XLK,k10% 252d VRP50%,0.0632,-0.6531
XLK,k20% 63d VRP0%,0.0994,-0.7343
XLK,k20% 63d VRP50%,0.0649,-0.8041
XLK,k20% 252d VRP0%,0.1085,-0.6795
XLK,k20% 252d VRP50%,0.0752,-0.7334
XLK,k30% 63d VRP0%,0.0932,-0.8008
XLK,k30% 63d VRP50%,0.0777,-0.8281
XLK,k30% 252d VRP0%,0.0995,-0.7385
XLK,k30% 252d VRP50%,0.0774,-0.7757
