asset,year,underlying_ret,hedge_pnl_frac
XLF,1999,0.027,-0.0502
XLF,2000,0.308,-0.0956
XLF,2001,-0.068,-0.0951
XLF,2002,-0.146,-0.041
XLF,2003,0.259,-0.1051
XLF,2004,0.11,-0.0052
XLF,2005,0.066,-0.0082
XLF,2006,0.169,-0.0097
XLF,2007,-0.196,-0.0025
XLF,2008,-0.54,0.2452
XLF,2009,0.163,-0.4145
XLF,2010,0.097,-0.0668
XLF,2011,-0.189,-0.0311
XLF,2012,0.251,-0.1298
XLF,2013,0.317,-0.0207
XLF,2014,0.157,-0.0127
XLF,2015,-0.018,-0.0159
XLF,2016,0.248,-0.0302
XLF,2017,0.207,-0.0234
XLF,2018,-0.131,-0.0058
XLF,2019,0.308,-0.0515
XLF,2020,-0.027,-0.0061
XLF,2021,0.367,-0.0622
XLF,2022,-0.117,-0.029
XLF,2023,0.116,-0.053
XLF,2024,0.299,-0.0131
XLK,1999,0.633,-0.0468
XLK,2000,-0.435,0.1839
XLK,2001,-0.186,-0.2123
XLK,2002,-0.397,0.0905
XLK,2003,0.316,-0.1401
XLK,2004,0.051,-0.0276
XLK,2005,0.005,-0.0111
XLK,2006,0.1,-0.0065
XLK,2007,0.151,-0.0048
XLK,2008,-0.403,0.161
XLK,2009,0.458,-0.2572
XLK,2010,0.098,-0.0177
XLK,2011,0.015,-0.0108
XLK,2012,0.137,-0.0568
XLK,2013,0.222,-0.0219
XLK,2014,0.19,-0.0046
XLK,2015,0.057,-0.0182
XLK,2016,0.165,-0.0229
XLK,2017,0.331,-0.0094
XLK,2018,-0.029,-0.0063
XLK,2019,0.498,-0.0973
XLK,2020,0.41,-0.0098
XLK,2021,0.37,-0.0426
XLK,2022,-0.284,0.0498
XLK,2023,0.575,-0.1031
XLK,2024,0.259,-0.0207
