asset,hedge,CAGR,maxDD
DHT,UNHEDGED,-0.0617,-0.9712
DHT,k10% 63d VRP0%,-0.012,-0.801
DHT,k10% 63d VRP50%,-0.1505,-0.9705
DHT,k10% 63d VRP100%,-0.2784,-0.9984
DHT,k10% 252d VRP0%,-0.004,-0.7515
DHT,k10% 252d VRP50%,-0.0781,-0.89
DHT,k10% 252d VRP100%,-0.151,-0.9625
DHT,k20% 63d VRP0%,-0.0044,-0.8659
DHT,k20% 63d VRP50%,-0.1067,-0.9636
DHT,k20% 63d VRP100%,-0.2165,-0.9944
DHT,k20% 252d VRP0%,0.0069,-0.7767
DHT,k20% 252d VRP50%,-0.0563,-0.8917
DHT,k20% 252d VRP100%,-0.1208,-0.9503
DHT,k30% 63d VRP0%,-0.0214,-0.9146
DHT,k30% 63d VRP50%,-0.0841,-0.9624
DHT,k30% 63d VRP100%,-0.1666,-0.9886
DHT,k30% 252d VRP0%,0.0066,-0.8282
DHT,k30% 252d VRP50%,-0.0434,-0.9049
DHT,k30% 252d VRP100%,-0.098,-0.951
FRO,UNHEDGED,-0.0473,-0.9842
FRO,k10% 63d VRP0%,-0.0211,-0.8993
FRO,k10% 63d VRP50%,-0.2038,-0.9954
FRO,k10% 63d VRP100%,-0.3619,-0.9999
FRO,k10% 252d VRP0%,-0.0571,-0.9655
FRO,k10% 252d VRP50%,-0.1666,-0.9915
FRO,k10% 252d VRP100%,-0.2668,-0.9985
FRO,k20% 63d VRP0%,-0.0028,-0.935
FRO,k20% 63d VRP50%,-0.1515,-0.9925
FRO,k20% 63d VRP100%,-0.295,-0.9996
FRO,k20% 252d VRP0%,-0.062,-0.9775
FRO,k20% 252d VRP50%,-0.1595,-0.9938
FRO,k20% 252d VRP100%,-0.2498,-0.9985
FRO,k30% 63d VRP0%,-0.0158,-0.9639
FRO,k30% 63d VRP50%,-0.1203,-0.9914
FRO,k30% 63d VRP100%,-0.2381,-0.999
FRO,k30% 252d VRP0%,-0.0603,-0.9807
FRO,k30% 252d VRP50%,-0.1424,-0.9936
FRO,k30% 252d VRP100%,-0.2207,-0.9979
