asset,year,underlying_ret,hedge_pnl_frac
DHT,2006,0.381,-0.0987
DHT,2007,-0.149,-0.0113
DHT,2008,-0.481,0.0104
DHT,2009,-0.306,-0.4077
DHT,2010,0.301,-0.0791
DHT,2011,-0.832,0.4937
DHT,2012,-0.506,-0.1389
DHT,2013,0.677,-0.1024
DHT,2014,0.109,-0.0924
DHT,2015,0.127,-0.1092
DHT,2016,-0.396,0.0181
DHT,2017,-0.15,-0.157
DHT,2018,0.071,-0.0338
DHT,2019,1.119,-0.1319
DHT,2020,-0.217,-0.1058
DHT,2021,-0.018,-0.0951
DHT,2022,0.677,-0.0583
DHT,2023,0.304,-0.096
DHT,2024,0.003,-0.0616
FRO,2005,0.246,-0.1496
FRO,2006,-0.016,-0.0791
FRO,2007,1.021,-0.0315
FRO,2008,-0.284,-0.0879
FRO,2009,-0.081,-0.373
FRO,2010,-0.055,-0.1131
FRO,2011,-0.833,0.5045
FRO,2012,-0.277,-0.4688
FRO,2013,0.081,-0.1668
FRO,2014,-0.301,-0.2259
FRO,2015,0.211,-0.4023
FRO,2016,-0.452,0.0411
FRO,2017,-0.353,-0.0265
FRO,2018,0.182,-0.0319
FRO,2019,1.3,-0.2064
FRO,2020,-0.418,0.0189
FRO,2021,0.105,-0.1377
FRO,2022,0.622,-0.1082
FRO,2023,1.063,-0.1422
FRO,2024,-0.245,-0.0773
