asset,strike,tenor,VRP,win_rate,expectancy,avg_win,avg_loss,payoff_ratio,CAGR_hedged,CAGR_unhedged,CAGR_delta
DHT,30%OTM,252d,0.0,0.16,0.001,0.229,-0.0423,5.41,0.0066,-0.0617,0.0683
DHT,30%OTM,252d,0.25,0.151,-0.0256,0.2156,-0.0684,3.15,-0.0173,-0.0617,0.0444
DHT,30%OTM,252d,0.5,0.123,-0.0539,0.2329,-0.0942,2.47,-0.0434,-0.0617,0.0183
DHT,30%OTM,252d,1.0,0.087,-0.1117,0.265,-0.1475,1.8,-0.098,-0.0617,-0.0363
DHT,30%OTM,252d,2.0,0.064,-0.2212,0.2551,-0.2537,1.01,-0.2055,-0.0617,-0.1438
FRO,30%OTM,252d,0.0,0.175,-0.0251,0.2183,-0.0769,2.84,-0.0603,-0.0473,-0.013
FRO,30%OTM,252d,0.25,0.14,-0.0616,0.2369,-0.1103,2.15,-0.1012,-0.0473,-0.0539
FRO,30%OTM,252d,0.5,0.132,-0.0987,0.2205,-0.1471,1.5,-0.1424,-0.0473,-0.095
FRO,30%OTM,252d,1.0,0.092,-0.171,0.2433,-0.213,1.14,-0.2207,-0.0473,-0.1733
FRO,30%OTM,252d,2.0,0.061,-0.2973,0.2362,-0.3322,0.71,-0.348,-0.0473,-0.3007
SP500,20%OTM,252d,0.0,0.043,-0.0043,0.0799,-0.0081,9.85,0.0795,0.0837,-0.0042
SP500,20%OTM,252d,0.25,0.037,-0.0108,0.0842,-0.0144,5.85,0.0704,0.0837,-0.0133
SP500,20%OTM,252d,0.5,0.035,-0.0187,0.0772,-0.0222,3.48,0.0597,0.0837,-0.024
SP500,20%OTM,252d,1.0,0.025,-0.0376,0.0784,-0.0405,1.93,0.0348,0.0837,-0.0489
SP500,20%OTM,252d,2.0,0.015,-0.0813,0.0494,-0.0833,0.59,-0.0216,0.0837,-0.1053
