,total-assets,total-liabilities,shares-outstanding,cash-on-hand,long-term-debt
2011-09-30,513.0,309.0,5.0,45.0,295.0
2011-12-31,505.0,298.0,5.0,43.0,264.0
2012-03-31,489.0,277.0,5.0,30.0,254.0
2012-06-30,517.0,229.0,5.0,71.0,215.0
2012-09-30,416.0,229.0,15.0,72.0,212.0
2012-12-31,400.0,219.0,12.0,71.0,203.0
2013-03-31,396.0,217.0,15.0,75.0,155.0
2013-06-30,339.0,168.0,15.0,43.0,156.0
2013-09-30,335.0,168.0,16.0,50.0,156.0
2013-12-31,447.0,162.0,18.0,126.0,156.0
2014-03-31,714.0,217.0,57.0,220.0,203.0
2014-06-30,701.0,212.0,69.0,146.0,196.0
2014-09-30,1334.0,686.0,73.0,134.0,585.0
2014-12-31,1378.0,703.0,73.0,167.0,629.0
2015-03-31,1384.0,688.0,111.0,176.0,623.0
2015-06-30,1360.0,654.0,112.0,137.0,578.0
2015-09-30,1363.0,643.0,112.0,158.0,572.0
2015-12-31,1424.0,686.0,112.0,167.0,630.0
2016-03-31,1423.0,673.0,114.0,78.0,601.0
2016-06-30,1395.0,631.0,114.0,65.0,582.0
2016-09-30,1377.0,709.0,93.0,72.0,630.0
2016-12-31,1404.0,719.0,93.0,109.0,644.0
2017-03-31,1393.0,700.0,113.0,72.0,619.0
2017-06-30,1808.0,866.0,119.0,104.0,777.0
2017-09-30,1783.0,847.0,142.0,87.0,762.0
2017-12-31,1730.0,805.0,125.0,77.0,721.0
2018-03-31,1693.0,783.0,143.0,70.0,709.0
2018-06-30,1764.0,884.0,144.0,77.0,797.0
2018-09-30,1818.0,961.0,144.0,87.0,867.0
2018-12-31,1864.0,1002.0,143.0,95.0,873.0
2019-03-31,1828.0,959.0,142.0,69.0,825.0
2019-06-30,1793.0,944.0,142.0,71.0,807.0
2019-09-30,1828.0,992.0,143.0,115.0,846.0
2019-12-31,1827.0,895.0,168.0,67.0,751.0
2020-03-31,1790.0,831.0,169.0,76.0,678.0
2020-06-30,1824.0,779.0,170.0,138.0,647.0
2020-09-30,1686.0,551.0,171.0,75.0,474.0
2020-12-31,1622.0,513.0,170.0,69.0,447.0
2021-03-31,1731.0,617.0,171.0,54.0,563.0
2021-06-30,1653.0,567.0,171.0,52.0,516.0
2021-09-30,1618.0,562.0,168.0,64.0,515.0
2021-12-31,1609.0,562.0,169.0,61.0,513.0
2022-03-31,1578.0,550.0,167.0,59.0,500.0
2022-06-30,1542.0,518.0,167.0,107.0,451.0
2022-09-30,1466.0,449.0,163.0,69.0,378.0
2022-12-31,1508.0,435.0,165.0,130.0,367.0
2023-03-31,1478.0,427.0,163.0,118.0,363.0
2023-06-30,1490.0,428.0,163.0,131.0,349.0
2023-09-30,1497.0,471.0,162.0,74.0,389.0
2023-12-31,1492.0,461.0,162.0,75.0,398.0
2024-03-31,1472.0,428.0,161.0,73.0,362.0
2024-06-30,1488.0,445.0,161.0,73.0,373.0
2024-09-30,1475.0,439.0,162.0,74.0,359.0
2024-12-31,1487.0,444.0,161.0,78.0,331.0
2025-03-31,1458.0,397.0,161.0,81.0,285.0
2025-06-30,1430.0,341.0,161.0,83.0,254.0
2025-09-30,1398.0,302.0,161.0,81.0,237.0
2025-12-31,1603.0,470.0,161.0,79.0,389.0
2026-03-31,1785.0,552.0,161.0,127.0,401.0
2026-06-30,1808.0,478.0,161.0,163.0,389.0
