,total-assets,total-liabilities,shares-outstanding,cash-on-hand,long-term-debt
2011-09-30,3274.0,2716.0,16.0,290.0,2353.0
2011-12-31,1841.0,1627.0,16.0,264.0,1451.0
2012-03-31,1819.0,1598.0,16.0,256.0,1418.0
2012-06-30,1803.0,1606.0,16.0,266.0,1406.0
2012-09-30,1726.0,1578.0,16.0,240.0,1380.0
2012-12-31,1688.0,1557.0,16.0,229.0,1362.0
2013-03-31,1584.0,1471.0,16.0,184.0,1337.0
2013-06-30,1468.0,1476.0,16.0,160.0,1335.0
2013-09-30,1409.0,1454.0,16.0,139.0,1315.0
2013-12-31,1368.0,1386.0,114.0,128.0,1179.0
2014-03-31,1374.0,1367.0,19.0,186.0,1190.0
2014-06-30,1252.0,1314.0,19.0,99.0,987.0
2014-09-30,1038.0,1161.0,20.0,121.0,834.0
2014-12-31,2502.0,1054.0,125.0,272.0,474.0
2015-03-31,956.0,956.0,123.0,89.0,710.0
2015-06-30,1556.0,749.0,1158.0,193.0,596.0
2015-09-30,851.0,626.0,117.0,95.0,464.0
2015-12-31,2883.0,1437.0,120.0,288.0,1192.0
2016-03-31,2980.0,1512.0,158.0,281.0,1283.0
2016-06-30,2948.0,1527.0,156.0,142.0,1291.0
2016-09-30,2923.0,1526.0,156.0,134.0,1328.0
2016-12-31,2966.0,1467.0,157.0,221.0,1281.0
2017-03-31,3150.0,1642.0,170.0,182.0,1408.0
2017-06-30,3221.0,1762.0,170.0,165.0,1561.0
2017-09-30,3411.0,1974.0,170.0,152.0,1759.0
2017-12-31,3134.0,1946.0,170.0,144.0,1723.0
2018-03-31,3272.0,2114.0,170.0,126.0,1857.0
2018-06-30,3255.0,2119.0,170.0,131.0,1879.0
2018-09-30,3132.0,1993.0,224.0,86.0,1768.0
2018-12-31,3078.0,1914.0,170.0,88.0,1698.0
2019-03-31,3122.0,1918.0,170.0,105.0,1684.0
2019-06-30,3169.0,1954.0,170.0,102.0,1706.0
2019-09-30,3078.0,1914.0,166.0,77.0,1698.0
2019-12-31,3698.0,2188.0,179.0,188.0,1331.0
2020-03-31,3998.0,2394.0,198.0,237.0,1738.0
2020-06-30,4052.0,2386.0,198.0,247.0,1706.0
2020-09-30,3984.0,2362.0,197.0,217.0,1987.0
2020-12-31,3918.0,2307.0,198.0,198.0,2017.0
2021-03-31,3928.0,2287.0,198.0,165.0,2008.0
2021-06-30,3982.0,2368.0,198.0,144.0,1937.0
2021-09-30,3988.0,2406.0,195.0,125.0,2135.0
2021-12-31,4107.0,2465.0,199.0,116.0,2127.0
2022-03-31,4061.0,2377.0,204.0,114.0,1835.0
2022-06-30,4365.0,2459.0,205.0,286.0,1912.0
2022-09-30,4549.0,2521.0,223.0,341.0,2092.0
2022-12-31,4768.0,2509.0,214.0,491.0,2112.0
2023-03-31,4719.0,2498.0,223.0,458.0,2020.0
2023-06-30,4702.0,2405.0,222.0,519.0,1935.0
2023-09-30,4600.0,2374.0,224.0,516.0,1892.0
2023-12-31,5883.0,3605.0,223.0,316.0,3196.0
2024-03-31,6624.0,4247.0,223.0,304.0,3768.0
2024-06-30,6451.0,4026.0,223.0,367.0,3403.0
2024-09-30,6284.0,3936.0,224.0,326.0,3387.0
2024-12-31,6221.0,3881.0,223.0,420.0,3285.0
2025-03-31,6138.0,3810.0,222.0,438.0,3351.0
2025-06-30,6110.0,3743.0,222.0,479.0,3269.0
2025-09-30,5710.0,3385.0,224.0,192.0,2946.0
2025-12-31,5754.0,3243.0,223.0,253.0,2747.0
2026-03-31,5665.0,2825.0,223.0,472.0,2351.0
2026-06-30,5813.0,2658.0,223.0,322.0,2169.0
