ticker,years,exit_pnav,target,clears_spot
DHT,1,0.8,11.12,False
DHT,1,1.0,13.3,False
DHT,1,1.2,15.49,False
DHT,1,1.4,17.67,False
DHT,1,1.6,19.86,False
DHT,2,0.8,12.56,False
DHT,2,1.0,14.57,False
DHT,2,1.2,16.58,False
DHT,2,1.4,18.59,False
DHT,2,1.6,20.6,False
DHT,3,0.8,13.89,False
DHT,3,1.0,15.74,False
DHT,3,1.2,17.59,False
DHT,3,1.4,19.44,False
DHT,3,1.6,21.29,False
DHT,5,0.8,16.21,False
DHT,5,1.0,17.79,False
DHT,5,1.2,19.38,False
DHT,5,1.4,20.96,False
DHT,5,1.6,22.54,False
DHT,8,0.8,18.98,False
DHT,8,1.0,20.24,False
DHT,8,1.2,21.51,False
DHT,8,1.4,22.78,False
DHT,8,1.6,24.04,True
FRO,1,0.8,21.08,False
FRO,1,1.0,25.3,False
FRO,1,1.2,29.52,False
FRO,1,1.4,33.74,False
FRO,1,1.6,37.96,False
FRO,2,0.8,22.64,False
FRO,2,1.0,26.29,False
FRO,2,1.2,29.95,False
FRO,2,1.4,33.6,False
FRO,2,1.6,37.26,False
FRO,3,0.8,24.17,False
FRO,3,1.0,27.34,False
FRO,3,1.2,30.51,False
FRO,3,1.4,33.68,False
FRO,3,1.6,36.85,False
FRO,5,0.8,27.1,False
FRO,5,1.0,29.49,False
FRO,5,1.2,31.89,False
FRO,5,1.4,34.29,False
FRO,5,1.6,36.68,False
FRO,8,0.8,31.03,False
FRO,8,1.0,32.62,False
FRO,8,1.2,34.22,False
FRO,8,1.4,35.81,False
FRO,8,1.6,37.41,False
