date,price,bvps,pb
2006-12-31,39.42,41.37,0.95
2007-03-31,37.04,38.52,0.96
2007-09-30,39.18,34.41,1.14
2007-12-31,33.14,28.73,1.15
2008-12-31,17.18,45.23,0.38
2009-03-31,12.53,44.6,0.28
2009-06-30,17.77,44.84,0.4
2009-09-30,12.82,45.74,0.28
2009-12-31,12.55,47.33,0.27
2010-03-31,13.37,48.29,0.28
2010-06-30,13.46,47.36,0.28
2010-09-30,14.83,47.66,0.31
2010-12-31,17.06,48.18,0.35
2011-03-31,18.0,49.2,0.37
2011-06-30,14.66,48.89,0.3
2011-09-30,8.02,37.92,0.21
2011-12-31,2.97,38.44,0.08
2012-03-31,3.97,39.35,0.1
2012-06-30,2.64,36.45,0.07
2012-12-31,1.51,19.8,0.08
2013-03-31,1.77,19.25,0.09
2013-06-30,1.67,18.24,0.09
2013-09-30,1.64,10.69,0.15
2013-12-31,2.57,9.81,0.26
2014-03-31,2.93,7.17,0.41
2014-06-30,2.72,7.04,0.39
2014-09-30,2.33,7.0,0.33
2014-12-31,2.78,7.29,0.38
2015-03-31,2.67,7.49,0.36
2015-06-30,3.03,7.6,0.4
2015-09-30,2.95,7.76,0.38
2015-12-31,3.3,7.94,0.42
2016-03-31,2.45,8.04,0.3
2016-06-30,2.24,8.18,0.27
2016-09-30,1.94,7.16,0.27
2016-12-31,1.93,7.33,0.26
2017-03-31,2.12,7.33,0.29
2017-06-30,2.01,6.62,0.3
2017-09-30,1.93,6.57,0.29
2017-12-31,1.75,6.5,0.27
2018-03-31,1.67,6.34,0.26
2018-06-30,2.31,6.13,0.38
2018-09-30,2.33,5.97,0.39
2018-12-31,1.95,6.04,0.32
2019-03-31,2.25,6.12,0.37
2019-06-30,3.02,5.96,0.51
2019-09-30,3.15,5.88,0.54
2019-12-31,4.27,6.35,0.67
2020-03-31,4.18,6.52,0.64
2020-06-30,2.96,7.09,0.42
2020-09-30,3.23,6.64,0.49
2020-12-31,3.4,6.49,0.52
2021-03-31,3.88,6.49,0.6
2021-06-30,4.28,6.47,0.66
2021-09-30,4.32,6.33,0.68
2021-12-31,3.44,6.3,0.55
2022-03-31,3.86,6.17,0.63
2022-06-30,4.1,6.24,0.66
2022-09-30,5.08,6.25,0.81
2022-12-31,5.99,6.6,0.91
2023-03-31,7.54,6.45,1.17
2023-06-30,6.12,6.54,0.94
2023-09-30,7.66,6.38,1.2
2023-12-31,7.43,6.41,1.16
2024-03-31,8.88,6.47,1.37
2024-06-30,9.15,6.46,1.42
2024-09-30,8.94,6.41,1.39
2024-12-31,7.69,6.52,1.18
2025-03-31,8.83,6.61,1.34
2025-06-30,9.21,6.77,1.36
2025-09-30,10.4,6.79,1.53
2025-12-31,10.78,7.05,1.53
2026-03-31,16.53,7.66,2.16
2026-06-30,15.5,8.25,1.88
2026-09-18,23.270000457763672,8.25,2.8206061160925664
