date,price,bvps,pb
2009-12-31,54.73,48.21,1.14
2010-12-31,54.5,48.75,1.12
2011-12-31,9.33,13.71,0.68
2012-06-30,9.92,12.64,0.78
2012-09-30,8.36,9.5,0.88
2012-12-31,7.09,8.42,0.84
2013-03-31,5.09,7.21,0.71
2014-03-31,8.55,0.36,23.89
2014-12-31,5.46,9.37,0.58
2015-06-30,5.31,1.27,4.18
2015-09-30,5.85,5.68,1.03
2015-12-31,6.62,1.85,3.58
2016-03-31,3.86,9.38,0.41
2016-06-30,3.77,9.09,0.42
2016-09-30,3.53,8.93,0.4
2016-12-31,3.55,8.83,0.4
2017-03-31,3.44,8.88,0.39
2017-09-30,3.17,8.46,0.37
2017-12-31,2.41,6.99,0.34
2018-03-31,2.33,6.82,0.34
2018-06-30,3.07,6.69,0.46
2018-09-30,3.05,6.7,0.45
2018-12-31,2.9,6.86,0.42
2019-03-31,3.39,7.09,0.48
2019-06-30,4.2,7.11,0.59
2019-09-30,4.78,6.86,0.7
2019-12-31,6.81,7.67,0.89
2020-03-31,5.32,8.12,0.66
2020-06-30,4.19,8.43,0.5
2020-09-30,4.16,8.2,0.51
2020-12-31,3.98,8.15,0.49
2021-03-31,4.58,8.3,0.55
2021-06-30,5.77,8.16,0.71
2021-09-30,6.0,7.99,0.75
2021-12-31,4.53,8.07,0.56
2022-03-31,5.64,8.27,0.68
2022-06-30,5.68,9.37,0.61
2022-09-30,7.08,9.11,0.78
2022-12-31,7.87,10.15,0.77
2023-03-31,11.42,9.98,1.14
2023-06-30,10.48,10.31,1.02
2023-09-30,14.23,10.0,1.42
2023-12-31,15.44,10.23,1.51
2024-03-31,18.29,10.67,1.71
2024-06-30,20.65,10.9,1.9
2024-09-30,18.83,10.55,1.79
2024-12-31,11.97,10.51,1.14
2025-03-31,12.69,10.46,1.21
2025-06-30,14.16,10.63,1.33
2025-09-30,19.98,10.44,1.91
2025-12-31,19.29,11.28,1.71
2026-03-31,31.79,12.76,2.49
2026-06-30,33.11,14.17,2.34
2026-09-18,51.41999816894531,14.17,3.628793095902986
