year,avg_TCE,FRO_avg_px,DHT_avg_px,FRO_px_per_1k_rate,DHT_px_per_1k_rate
2005,54000,43.59,27.95,0.81,0.52
2006,61000,43.25,33.06,0.71,0.54
2007,52000,67.76,40.2,1.3,0.77
2008,90000,93.43,25.83,1.04,0.29
2009,31000,49.47,16.01,1.6,0.52
2010,44000,65.05,15.03,1.48,0.34
2011,19000,32.87,12.69,1.73,0.67
2012,22000,10.6,2.83,0.48,0.13
2013,19000,5.83,1.86,0.31,0.1
2014,28000,6.23,2.81,0.22,0.1
2015,64000,6.31,3.08,0.1,0.05
2016,41000,4.11,2.23,0.1,0.05
2017,21000,3.3,2.08,0.16,0.1
2018,18000,3.07,2.14,0.17,0.12
2019,45000,4.79,3.1,0.11,0.07
2020,64000,4.84,3.45,0.08,0.05
2021,3000,5.3,4.02,1.77,1.34
2022,25000,7.08,4.89,0.28,0.2
2023,44000,13.46,7.29,0.31,0.17
2024,45000,19.15,8.98,0.43,0.2
2025,44000,17.88,10.13,0.41,0.23
2026,95000,37.22,17.15,0.39,0.18
