ticker,tce,net_income_m,eps,pe,dps_100pct,yield_pct
DHT,30000,0,0.0,,0.0,0.0
DHT,45000,126,0.78,29.8,0.78,3.4
DHT,60000,252,1.56,14.9,1.56,6.7
DHT,75000,378,2.34,9.9,2.34,10.1
DHT,93000,529,3.28,7.1,3.28,14.1
DHT,105000,630,3.91,6.0,3.91,16.8
DHT,126700,812,5.04,4.6,5.04,21.6
DHT,152700,1031,6.39,3.6,6.39,27.5
DHT,200000,1428,8.86,2.6,8.86,38.1
FRO,30000,-174,-0.78,,0.0,0.0
FRO,45000,130,0.58,88.3,0.58,1.1
FRO,60000,434,1.95,26.4,1.95,3.8
FRO,75000,738,3.31,15.5,3.31,6.4
FRO,93000,1102,4.95,10.4,4.95,9.6
FRO,105000,1346,6.04,8.5,6.04,11.8
FRO,126700,1785,8.02,6.4,8.02,15.6
FRO,152700,2312,10.39,5.0,10.39,20.2
FRO,200000,3271,14.69,3.5,14.69,28.6
