ticker,year,ships,fleet_fmv,net_debt,nav,shares,navps,price,pnav,basis
DHT,2019,26.0,1747.5,786.5,961.0,168.16,5.72,8.28,1.449,filed
DHT,2020,26.0,1379.0,381.3,997.7,170.05,5.87,5.23,0.891,filed
DHT,2021,26.0,1585.0,461.6,1123.4,169.09,6.64,5.19,0.781,filed
DHT,2022,23.0,1807.0,270.7,1536.3,164.85,9.32,8.88,0.953,filed
DHT,2023,24.0,1965.5,354.0,1611.5,162.36,9.93,9.81,0.988,filed
DHT,2024,24.0,1992.5,331.3,1661.2,161.44,10.29,9.29,0.903,filed
DHT,2025,21.0,1851.0,349.7,1501.3,160.77,9.34,12.21,1.308,filed
FRO,2017,52.0,2694.0,1775.0,918.6,169.81,5.41,4.59,0.849,modelled
FRO,2018,53.0,3461.0,1764.1,1696.8,169.82,9.99,5.53,0.553,modelled
FRO,2019,56.0,3763.0,1519.2,2244.0,196.89,11.4,12.86,1.128,modelled
FRO,2020,62.0,3286.0,2026.3,1259.7,197.69,6.37,6.22,0.976,modelled
FRO,2021,62.0,3782.0,2255.8,1526.2,203.53,7.5,7.07,0.943,modelled
FRO,2022,63.0,4952.0,2139.2,2812.6,222.62,12.63,12.14,0.961,modelled
FRO,2023,76.0,6224.0,3150.7,3073.7,222.62,13.81,20.05,1.452,modelled
FRO,2024,81.0,6723.0,3332.5,3390.5,222.62,15.23,14.19,0.932,modelled
FRO,2025,81.0,7136.0,2816.4,4319.7,222.62,19.4,21.82,1.125,modelled
