name,built,typ,dec25_fmv,age,now_val
DHT Mustang,2018,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Nokota,2018,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Bronco,2018,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Colt,2018,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Stallion,2018,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Tiger,2017,VLCC,102.0,9.720000000000027,153.1199999999999
DHT Harrier,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Puma,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Panther,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Osprey,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Lion,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Leopard,2016,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Jaguar,2015,VLCC,91.0,11.720000000000027,146.1519999999999
DHT Taiga,2012,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Opal,2012,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Sundarbans,2012,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Redwood,2011,VLCC,71.0,15.720000000000027,127.79999999999973
DHT Amazon,2011,VLCC,71.0,15.720000000000027,127.79999999999973
DHT China,2007,VLCC,54.0,19.720000000000027,87.79999999999973
DHT Europe,2007,VLCC,54.0,19.720000000000027,87.79999999999973
DHT Bauhinia,2007,VLCC,54.0,19.720000000000027,87.79999999999973
