name,built,typ,dec25_fmv,age,now_val
DHT Mustang,2018.0,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Nokota,2018.0,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Bronco,2018.0,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Colt,2018.0,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Stallion,2018.0,VLCC,110.0,8.720000000000027,157.1199999999999
DHT Tiger,2017.0,VLCC,102.0,9.720000000000027,153.1199999999999
DHT Harrier,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Puma,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Panther,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Osprey,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Lion,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Leopard,2016.0,VLCC,96.0,10.720000000000027,149.5519999999999
DHT Jaguar,2015.0,VLCC,91.0,11.720000000000027,146.1519999999999
DHT Taiga,2012.0,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Opal,2012.0,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Sundarbans,2012.0,VLCC,76.0,14.720000000000027,135.9519999999999
DHT Redwood,2011.0,VLCC,71.0,15.720000000000027,127.79999999999971
DHT Amazon,2011.0,VLCC,71.0,15.720000000000027,127.79999999999971
DHT Antelope,2026.0,VLCC,,0.7200000000000273,189.97599999999989
DHT Addax,2026.2,VLCC,,0.5199999999999818,190.8160000000001
