ticker,sustained_TCE,EPS,target_PE4,upside_PE4_pct,target_PE6,upside_PE6_pct,target_PE8,upside_PE8_pct
DHT,80000,2.6,10.42,-55.0,15.63,-32.0,20.84,-10.0
DHT,100000,3.65,14.59,-37.0,21.88,-5.0,29.17,27.0
DHT,120000,4.69,18.75,-19.0,28.13,22.0,37.51,63.0
DHT,150000,6.25,25.01,9.0,37.51,63.0,50.01,117.0
DHT,200000,8.86,35.43,54.0,53.14,131.0,70.85,208.0
DHT,250000,11.46,45.84,99.0,68.77,198.0,91.69,298.0
FRO,80000,3.57,14.3,-73.0,21.44,-60.0,28.59,-47.0
FRO,100000,5.4,21.59,-60.0,32.38,-40.0,43.18,-20.0
FRO,120000,7.22,28.88,-46.0,43.32,-19.0,57.76,8.0
FRO,150000,9.95,39.82,-26.0,59.72,11.0,79.63,48.0
FRO,200000,14.51,58.04,8.0,87.07,62.0,116.09,116.0
FRO,250000,19.07,76.27,42.0,114.41,113.0,152.55,184.0
