ticker,tc_rate,revenue_m,ebitda_m,net_m,eps,dps,yield_at_price_pct,pe
DHT,60000,504,357,252,1.56,1.2,5.2,14.9
DHT,75000,630,483,378,2.34,1.81,7.8,9.9
DHT,93000,781,634,529,3.28,2.53,10.9,7.1
DHT,100000,840,693,588,3.65,2.81,12.1,6.4
DHT,105000,882,735,630,3.91,3.01,12.9,6.0
DHT,120000,1008,861,756,4.69,3.61,15.5,5.0
DHT,150000,1260,1113,1008,6.25,4.81,20.7,3.7
FRO,60000,1216,734,434,1.95,1.75,3.4,26.4
FRO,75000,1520,1038,738,3.31,2.98,5.8,15.5
FRO,93000,1885,1402,1102,4.95,4.46,8.7,10.4
FRO,100000,2026,1544,1244,5.59,5.03,9.8,9.2
FRO,105000,2128,1646,1346,6.04,5.44,10.6,8.5
FRO,120000,2432,1949,1649,7.41,6.67,13.0,6.9
FRO,150000,3040,2557,2257,10.14,9.13,17.7,5.1
