,DHT_ann_vol_pct,DHT_max_daily_pct,FRO_ann_vol_pct,FRO_max_daily_pct
2025-01,51.0,7.3,72.0,11.4
2025-02,28.0,4.4,47.0,7.5
2025-03,35.0,4.8,53.0,8.7
2025-04,60.0,7.9,87.0,11.4
2025-05,25.0,3.7,45.0,6.8
2025-06,29.0,4.3,50.0,7.5
2025-07,26.0,3.4,38.0,6.2
2025-08,30.0,4.2,45.0,6.7
2025-09,31.0,3.6,33.0,4.4
2025-10,29.0,4.1,37.0,4.5
2025-11,25.0,3.0,37.0,4.0
2025-12,16.0,2.1,27.0,4.1
2026-01,43.0,9.1,49.0,9.5
2026-02,34.0,6.7,36.0,5.6
2026-03,49.0,5.8,58.0,6.3
2026-04,38.0,5.0,44.0,5.6
2026-05,33.0,4.9,38.0,4.0
2026-06,50.0,6.8,60.0,9.8
2026-07,39.0,5.0,42.0,5.9
