date,effr
1982-01-01,13.22
1982-02-01,14.78
1982-03-01,14.68
1982-04-01,14.94
1982-05-01,14.45
1982-06-01,14.15
1982-07-01,12.59
1982-08-01,10.12
1982-09-01,10.31
1982-10-01,9.71
1982-11-01,9.2
1982-12-01,8.95
1983-01-01,8.68
1983-02-01,8.51
1983-03-01,8.77
1983-04-01,8.8
1983-05-01,8.63
1983-06-01,8.98
1983-07-01,9.37
1983-08-01,9.56
1983-09-01,9.45
1983-10-01,9.48
1983-11-01,9.34
1983-12-01,9.47
1984-01-01,9.56
1984-02-01,9.59
1984-03-01,9.91
1984-04-01,10.29
1984-05-01,10.32
1984-06-01,11.06
1984-07-01,11.23
1984-08-01,11.64
1984-09-01,11.3
1984-10-01,9.99
1984-11-01,9.43
1984-12-01,8.38
1985-01-01,8.35
1985-02-01,8.5
1985-03-01,8.58
1985-04-01,8.27
1985-05-01,7.97
1985-06-01,7.53
1985-07-01,7.88
1985-08-01,7.9
1985-09-01,7.92
1985-10-01,7.99
1985-11-01,8.05
1985-12-01,8.27
1986-01-01,8.14
1986-02-01,7.86
1986-03-01,7.48
1986-04-01,6.99
1986-05-01,6.85
1986-06-01,6.92
1986-07-01,6.56
1986-08-01,6.17
1986-09-01,5.89
1986-10-01,5.85
1986-11-01,6.04
1986-12-01,6.91
