ticker,name,max_dd_pct,max_dd_date,dd_from_52w_high_pct,ann_vol_pct
600988.SS,赤峰黄金 Chifeng (A),-70.0,2019-01-31,-10.5,48.4
6693.HK,赤峰黄金 Chifeng (H),-50.2,2026-06-30,-16.3,81.1
1818.HK,招金矿业 Zhaojin,-59.6,2026-06-30,-50.3,45.1
AAUC.TO,Allied Gold,-50.7,2024-09-05,-31.2,54.4
601899.SS,紫金 Zijin (A),-61.4,2016-01-28,-25.7,39.5
2259.HK,紫金黄金国际 Zijin Gold Intl,-64.6,2026-06-30,-35.8,70.0
000408.SZ,藏格 Zangge,-89.8,2020-05-12,-21.6,47.3
600388.SS,龙净 Longking,-72.3,2018-10-18,-14.1,37.2
IVN.TO,Ivanhoe,-72.7,2016-01-21,-36.2,56.4
MAU.TO,Montage Gold,-57.9,2022-07-25,-4.5,55.2
GC=F,Gold,-24.9,2026-07-16,-16.7,16.6
HG=F,Copper,-43.5,2016-01-15,-2.1,23.7
