ticker,name,ccy,price,mcap_bn,pe_trailing,pe_forward,pb,roe_pct,net_debt_bn
600988.SS,赤峰黄金 Chifeng (A),CNY,44.26,84.1,22.353535,12.828985,5.8244505,26.4,-5.32
6693.HK,赤峰黄金 Chifeng (H),HKD,38.62,73.4,16.718615,11.185516,4.34826,26.4,-5.32
1818.HK,招金矿业 Zhaojin,HKD,20.16,71.4,18.0,8.984199,3.0238764,16.4,11.03
AAUC.TO,Allied Gold,CAD,30.07,4.2,,2.9717052,5.4075313,-2.9,0.0
601899.SS,紫金 Zijin (A),CNY,31.41,835.2,12.665322,8.749304,4.056567,36.6,53.69
2259.HK,紫金黄金国际 Zijin Gold Intl,HKD,159.1,425.8,17.464327,15.926618,5.8129644,41.1,-3.36
000408.SZ,藏格 Zangge,CNY,72.16,113.2,19.878788,35.37255,6.5623865,34.5,-2.95
600388.SS,龙净 Longking,CNY,17.45,24.6,17.98969,13.527133,1.9929193,11.3,8.14
IVN.TO,Ivanhoe,CAD,12.01,17.1,92.38462,20.977404,2.0737076,2.1,0.66
MAU.TO,Montage Gold,CAD,19.91,8.0,,9.328454,13.811081,-17.7,0.65
